Rok,"Příjmení, jméno",Titul,Věk,Navrh.strana,Polit.přísl.,Pocet hlasu lidi,Pocet hlasu v %,Pořadí kand.,Pořadí zvoleni,Mandát
2018,Anderle Jan,Ing.,62,NK,PVP,3288,2.28,7,11,-
2018,Andrlík Roman, ,51,ČSSD,ČSSD,3229,2.28,6,9,-
2018,Anton Lukáš, ,41,ČSSD,ČSSD,2984,2.11,27,30,-
2018,Antonov Tomáš, ,34,Soukromníci,BEZPP,175,2.04,0,20,-
2018,Aschenbrenner Lumír,Ing.,58,ODS,ODS,11513,2.36,2,11,*
2018,Bagin Vladimír,Ing.,55,ANO,ANO,10134,2.07,28,41,-
2018,Bakala Roman, ,44,BPI,BPI,246,2.32,0,10,-
2018,Balážová Lenka,Mgr.,33,ANO,ANO,9955,2.03,31,44,-
2018,Baloun Petr,Ing.,41,ODS,ODS,10132,2.08,24,37,-
2018,Barták Martin,Ing.,40,ANO,ANO,10439,2.13,14,27,-
2018,Bartáková Eliška,Mgr.,61,ANO,ANO,10587,2.16,7,7,*
2018,Bartman Vladislav,Ing.,65,OPAT,BEZPP,1753,2.18,0,19,-
2018,Bartošová Ivana,Mgr.,58,KDU-ČSL,KDU-ČSL,3043,2.11,12,16,-
2018,Baumruk Vlastimil, ,53,ND,BEZPP,216,2.03,0,31,-
2018,Baxa Martin,Mgr.,43,ODS,ODS,12786,2.62,1,1,*
2018,Baxa Petr, ,52,SPD,BEZPP,2302,2.11,0,23,-
2018,Bednář Jan, ,42,DSSS,DSSS,249,2.35,0,5,-
2018,Bedřichová Ella, ,52,Soukromníci,BEZPP,202,2.36,0,16,-
2018,Běhounek Petr,MUDr.,37,ČSSD,ČSSD,3018,2.13,26,29,-
2018,Beran Václav, ,66,ANO,ANO,10326,2.11,20,33,-
2018,Berka Aleš, ,56,DSSS,BEZPP,221,2.08,0,33,-
2018,Berková Jaroslava, ,74,NPJS,BEZPP,1229,2.02,0,19,-
2018,Berková Věra, ,61,ND,BEZPP,218,2.05,0,18,-
2018,Bernášek František, ,41,DSSS,DSSS,218,2.05,0,21,-
2018,Bernhardt Tomáš,Mgr.,50,KDU-ČSL,KDU-ČSL,3137,2.17,8,12,-
2018,Beroušek Jakub, ,27,SPD,BEZPP,2299,2.11,0,29,-
2018,Bešornová Věra, ,70,SPD,BEZPP,2211,2.03,0,44,-
2018,Bičánek Rudolf, ,39,DSSS,BEZPP,240,2.26,0,6,-
2018,Bis Jiří,Ing.,77,ČSSD,ČSSD,2991,2.12,29,32,-
2018,Blabol Miroslav,Bc.,36,KDU-ČSL,BEZPP,2965,2.05,18,22,-
2018,Blaheta Milouš, ,62,NK,BEZPP,399,2.06,0,24,-
2018,Blažek Jindřich,Ing.,32,ANO,ANO,10619,2.17,8,8,*
2018,Blažek Jindřich, ,64,NK,BEZPP,372,1.92,0,31,-
2018,Blažková Vlasta, ,70,SPD,BEZPP,2193,2.01,0,45,-
2018,Blecha Adolf,Bc.,47,NK,BEZPP,2166,2.05,0,39,-
2018,Bočan David, ,21,Piráti,BEZPP,5143,1.99,37,44,-
2018,Boček Jan,MUDr.,27,KDU-ČSL,BEZPP,2968,2.05,28,32,-
2018,Boček Miroslav, ,39,KSČM,BEZPP,2616,2.1,19,22,-
